PARENT_3_CATEGORY,PARENT_4_CATEGORY,PARENT_5_CATEGORY,COUNT_LISTINGS
Agriscience,Agricultural Discovery & Development,Agricultural Analytical Services,6
Agriscience,Agricultural Discovery & Development,Agricultural Consulting,1
Agriscience,Agricultural Discovery & Development,Arabidopsis Screening,16
Agriscience,Agricultural Discovery & Development,Botanical Data Analysis,6
Agriscience,Agricultural Discovery & Development,Controlled Plant Growth Environments,71
Agriscience,Agricultural Discovery & Development,Feed Additives,8
Agriscience,Agricultural Discovery & Development,Feed Formulation,31
Agriscience,Agricultural Discovery & Development,Feed Formulation Software,1
Agriscience,Agricultural Discovery & Development,Germination Services,7
Agriscience,Agricultural Discovery & Development,Greenhouse Studies,1
Agriscience,Agricultural Discovery & Development,High Throughput Plant Phenotyping,11
Agriscience,Agricultural Discovery & Development,Identification of Plant Species,1
Agriscience,Agricultural Discovery & Development,Molecular Plant Breeding,21
Agriscience,Agricultural Discovery & Development,Pesticide Efficacy Testing,17
Agriscience,Agricultural Discovery & Development,Plant Biomass Sampling and Measurement,3
Agriscience,Agricultural Discovery & Development,Plant Breeding,10
Agriscience,Agricultural Discovery & Development,Plant Genetic Engineering,18
Agriscience,Agricultural Discovery & Development,Plant Hormone Analysis,57
Agriscience,Agricultural Discovery & Development,Plant Micronutrient Transport Studies,114
Agriscience,Agricultural Discovery & Development,Plant Models,4
Agriscience,Agricultural Discovery & Development,Plant Pathogen Genomics,40
Agriscience,Agricultural Discovery & Development,Plant Phenotyping,11
Agriscience,Agricultural Discovery & Development,Plant Procurement,9
Agriscience,Agricultural Discovery & Development,Plant RNAi,17
Agriscience,Agricultural Discovery & Development,Plant Sterol Analysis,64
Agriscience,Agricultural Discovery & Development,Plant Tissue Analysis,4
Agriscience,Agricultural Discovery & Development,Plant Tissue Culture,240
Agriscience,Agricultural Discovery & Development,Plant Tissue Sampling,3
Agriscience,Agricultural Discovery & Development,Pollen Reference Library,5
Agriscience,Agricultural Discovery & Development,RGB/Vis Imaging,8
Agriscience,Agricultural Field Studies & Operations,Aquaculture,3
Agriscience,Agricultural Field Studies & Operations,Biocontrol Trials,19
Agriscience,Agricultural Field Studies & Operations,Crop Field Trials,1
Agriscience,Agricultural Field Studies & Operations,Endophyte Testing,4
Agriscience,Agricultural Field Studies & Operations,Farm Management Software,1
Agriscience,Agricultural Field Studies & Operations,Fertilizer Blending,18
Agriscience,Agricultural Field Studies & Operations,Field Scouting,7
Agriscience,Agricultural Field Studies & Operations,Field Trial Design,1
Agriscience,Agricultural Field Studies & Operations,"Field Trial Recording, Reporting, and Data Analysis",1
Agriscience,Agricultural Field Studies & Operations,GMO Testing,4
Agriscience,Agricultural Field Studies & Operations,Grain Storage,15
Agriscience,Agricultural Field Studies & Operations,Irrigation Management,45
Agriscience,Agricultural Field Studies & Operations,Irrigation System Evaluation and Development,3
Agriscience,Agricultural Field Studies & Operations,Livestock Studies,2
Agriscience,Agricultural Field Studies & Operations,On-Site Farm Demonstration,3
Agriscience,Agricultural Field Studies & Operations,Petiole Testing,2
Agriscience,Agricultural Field Studies & Operations,Plant Performance Testing,1
Agriscience,Agricultural Field Studies & Operations,Spray Drift Evaluation,7
Agriscience,Agricultural Field Studies & Operations,Turf Seed,11
Agriscience,Agricultural Field Studies & Operations,,6
Agriscience,Agricultural Testing,Activated Sludge Respiration Inhibition Test,9
Agriscience,Agricultural Testing,Agrochemical Testing,6
Agriscience,Agricultural Testing,Allergenicity Testing of Agricultural Products,8
Agriscience,Agricultural Testing,Biochemical Methane Potential,8
Agriscience,Agricultural Testing,Cattle Genetic Evaluation,2
Agriscience,Agricultural Testing,Cell Wall Calcium Analysis,138
Agriscience,Agricultural Testing,Crop Nutritional Monitoring,3
Agriscience,Agricultural Testing,Dairy Milk Component Auditing,9
Agriscience,Agricultural Testing,Feed Testing,2
Agriscience,Agricultural Testing,Fertilizer Testing,2
Agriscience,Agricultural Testing,Grain Quality Testing,11
Agriscience,Agricultural Testing,Nitrification Inhibition Test,138
Agriscience,Agricultural Testing,Oilseed Quality Testing,2
Agriscience,Agricultural Testing,Pesticide Analysis,109
Agriscience,Agricultural Testing,Photosynthesis Systems,7
Agriscience,Agricultural Testing,Phytotoxicity Assessment,10
Agriscience,Agricultural Testing,Plant Disease Diagnostics,2
Agriscience,Agricultural Testing,Rainfastness Studies,6
Agriscience,Agricultural Testing,Seed Testing,4
Agriscience,Agricultural Testing,Seed Treatment Trials,4
Agriscience,Agricultural Testing,Soil Testing,30
Agriscience,Agricultural Testing,Terrestrial Field Dissipation (TFD) Studies,1
Agriscience,Agricultural Testing,,13
Agriscience,"Feed, Fertilizer, and Crop Protection Services",Animal Feed,1
Agriscience,"Feed, Fertilizer, and Crop Protection Services",Aqua Feed,16
Agriscience,"Feed, Fertilizer, and Crop Protection Services",Biopesticides,65
Agriscience,"Feed, Fertilizer, and Crop Protection Services",Crop Protection Product Development,14
Agriscience,"Feed, Fertilizer, and Crop Protection Services",Fertilizers,43
Agriscience,"Feed, Fertilizer, and Crop Protection Services",Insect Attractants and Repellents,58
Agriscience,"Feed, Fertilizer, and Crop Protection Services",Plant Biostimulants,50
Agriscience,"Feed, Fertilizer, and Crop Protection Services",,1
Agriscience,,,1
Biology,Animal Models and Studies,Animal Model Housing and Maintenance,125
Biology,Animal Models and Studies,Animal Model in vivo Analyses,2055
Biology,Animal Models and Studies,Animal Models of Disease,6809
Biology,Animal Models and Studies,Discovery Pathology,6
Biology,Animal Models and Studies,Model Organisms,5102
Biology,Animal Models and Studies,Preclinical Population Studies,1
Biology,Animal Models and Studies,Preclinical Study Design,3
Biology,Animal Models and Studies,Preclinical Surgical Efficacy Studies,75
Biology,Animal Models and Studies,Preclinical Targeted Radionuclide Therapy,20
Biology,Animal Models and Studies,Targeted Preclinical Drug Administration,26
Biology,Animal Models and Studies,,3
Biology,Assay Development,,3425
Biology,Biochemistry & Molecular Biology,Biochemical Assays,1290312
Biology,Biochemistry & Molecular Biology,Bioconjugation/Chemical Crosslinking,113
Biology,Biochemistry & Molecular Biology,Biomolecular Interaction Analysis,2926
Biology,Biochemistry & Molecular Biology,Bioparticle Technology,1210
Biology,Biochemistry & Molecular Biology,Carbohydrate Services,1374
Biology,Biochemistry & Molecular Biology,Lipid Services,1040
Biology,Biochemistry & Molecular Biology,Microplate Reader Training,14
Biology,Biochemistry & Molecular Biology,Nucleic Acid Services,843488
Biology,Biochemistry & Molecular Biology,Protein Services,712585
Biology,Biochemistry & Molecular Biology,Structural Biology,2986
Biology,Biochemistry & Molecular Biology,,69858
Biology,Cell-Based Assays,Angiogenesis & Endothelial Cell Assays,320
